episode,reward
0,-107.9412145725719
1,-142.8093470972707
2,-140.53497324811556
3,-127.476014729834
4,-126.89817049639275
5,-122.01811418633461
6,-124.24083880832778
7,-125.56499934922597
8,-124.7847316914884
9,-122.90241775780848
10,-122.24839781512271
11,-124.83922793438734
12,-124.53591796241965
13,-124.8143071506784
14,-122.06241459961821
15,-125.904248280916
16,-124.77474873422601
17,-121.94820470961314
18,-124.68528636312533
19,-126.18576034224277
20,-123.91223373630602
21,-122.00648245472556
22,-125.99241045216296
23,-123.87751102091867
24,-122.51221434575575
25,-126.4657524833502
26,-122.63387032791618
27,-122.7821072186951
28,-126.34161248853877
29,-124.10031936981018
30,-122.0324635076609
31,-125.7260966367678
32,-125.31136067164496
33,-121.40901554633544
34,-124.98642264802173
35,-125.99772335212535
36,-121.7573687972131
37,-124.1313711007986
38,-126.32887047539447
39,-122.08627951941644
40,-124.46246603613089
41,-125.41834761539944
42,-121.67300851687276
43,-126.90895123634738
44,-122.93028973513523
45,-123.29717783138531
46,-126.235790744561
47,-122.96312077088646
48,-123.0543982716963
49,-126.69193499715077
50,-121.6547637690341
51,-125.34327936365229
52,-124.50760638305705
53,-121.92087777390957
54,-126.48721684080058
55,-122.95269772929828
56,-123.62853004595738
57,-125.99637673402886
58,-121.6565743236284
59,-126.31104071188118
60,-123.19862515511807
61,-122.58194087014289
62,-126.25228145958638
63,-123.76586938249598
64,-122.35385759559608
65,-125.84268567957466
66,-124.16267401705664
67,-122.42066623318425
68,-126.46491678655192
69,-122.84076892472424
70,-123.93908718617712
71,-125.77179162631646
72,-121.61305821828469
73,-124.85947586903995
74,-125.51576877312381
75,-121.45841353884673
76,-126.4640203191644
77,-122.6469818330402
78,-124.31670454077678
79,-125.27837895110743
80,-121.27011290144094
81,-124.61754348481338
82,-126.23759287306906
83,-121.66234156191472
84,-124.53337546908516
85,-125.86434621655218
86,-121.32716952691142
87,-124.74151558948189
88,-124.84216241874977
89,-121.65912163356263
90,-126.41494366514169
91,-122.73187648550902
92,-123.79426003122373
93,-125.50896139879065
94,-121.14514748623878
95,-126.1914231960914
96,-123.17534299355799
97,-122.20402968559259
98,-126.12476104031342
99,-123.44256582185503
100,-121.72323969067389
101,-125.93145473311402
102,-123.25000581276105
103,-122.26747423097054
104,-126.07363010643004
105,-123.59068775148289
106,-122.03505957803497
107,-125.89068457840311
108,-123.78835698619108
109,-121.78153205089087
110,-126.03809392478088
111,-122.33377886315122
112,-124.34276872932436
113,-128.55476079619072
114,-122.00576079974054
115,-124.35656910427406
116,-125.92299434100637
117,-122.25079924213935
118,-124.70921177164824
119,-124.5810929301846
120,-121.87062976806821
121,-126.84976903713412
122,-121.49323399616104
123,-125.46256436492627
124,-125.00040182462385
125,-121.46090989589155
126,-125.33639273400665
127,-124.86101967961066
128,-121.95327987894957
129,-126.30033587493696
130,-122.05840602737786
131,-124.83018329051093
132,-125.470144218695
133,-121.50513078235142
134,-124.63586078389014
135,-125.26463373885495
136,-120.56417936164753
137,-125.50997940360591
138,-123.61339718001959
139,-122.02026655205525
140,-125.9829731953948
141,-122.75542664607461
142,-121.93501665257284
143,-125.78622698707346
144,-121.73592416291376
145,-122.48810008292232
146,-125.27640396237139
147,-120.5181235027291
148,-124.95654886067629
149,-123.63050823001599
150,-121.18331099715958
151,-125.19982208311897
152,-124.45223096527339
153,-120.64609343926516
154,-124.59345154334764
155,-123.83451881290777
156,-121.83630100371363
157,-126.78017035167582
158,-123.67491210717503
159,-123.78693957261171
160,-127.84565408766636
161,-123.73709046088445
162,-124.64657890027638
163,-127.39586379689428
164,-124.22815809343494
165,-128.66448514147083
166,-122.26797678244951
167,-124.07690156683651
168,-125.14820004995354
169,-122.5420817797135
170,-126.8300622966145
171,-126.92054302628263
172,-124.93846762840056
173,-127.11132265446602
174,-120.82035348171665
175,-125.74911189944542
176,-126.12453355405935
177,-124.02763587698242
178,-128.42453691699927
179,-127.20455690703707
180,-123.55978823264844
181,-126.43169280395752
182,-122.25614678998475
183,-125.27184804864241
184,-125.77872767040732
185,-122.81031118714802
186,-127.59682734043231
187,-127.1718587465062
188,-124.57939439354433
189,-129.2033777379981
190,-127.77961699522676
191,-125.41689967402796
192,-128.3698991428891
193,-122.99026564986507
194,-127.95425800960048
195,-125.65647735930176
196,-125.0117958241609
197,-129.4135496070117
198,-124.32524645384952
199,-128.14416097613065
200,-125.30431491290963
201,-124.53190773761216
202,-128.44990807485354
203,-123.47399947072789
204,-124.12591267554734
205,-127.93086576041813
206,-123.68922019928446
207,-127.95976354803534
208,-125.00731043145535
209,-123.44623516920544
210,-126.76490583559509
211,-122.27812855851009
212,-123.40600046686224
213,-126.74982989086563
214,-121.72686009687331
215,-125.17071905162189
216,-125.88215145198816
217,-123.57012311559275
218,-127.39267060635346
219,-122.55528749966727
220,-125.95438203347554
221,-124.73484121276775
222,-120.5305474868214
223,-124.94974415166106
224,-123.73383702348285
225,-123.21635121298557
226,-127.94718140672225
227,-123.40663616897453
228,-127.64132464494216
229,-129.89159026175062
230,-123.62260086901605
231,-125.65753093527383
232,-124.84202249189687
233,-125.70819793043084
234,-126.795875354102
235,-124.10769492591233
236,-127.99112464959374
237,-124.026499946479
238,-124.20919002069598
239,-126.03362825516174
240,-122.28142140359346
241,-122.39448516027127
242,-124.63929806391465
243,-121.80537743900635
244,-126.69359688913659
245,-121.23837492102764
246,-125.42157344343903
247,-124.80110445942744
248,-121.56364811056415
249,-125.86358204640959
250,-120.58116066883622
251,-125.47653534302358
252,-120.98063063342315
253,-125.59601610653309
254,-121.97215197536063
255,-121.79102842574818
256,-126.05689297809874
257,-122.17310809909634
258,-125.80675474302143
259,-125.5602782850202
260,-123.34048940115574
261,-126.8551309065186
262,-120.96646047026279
263,-125.21290002493306
264,-122.30146752894511
265,-121.33783088992182
266,-124.93709460777515
267,-120.30751910950374
268,-125.57204969430173
269,-123.06205165242609
270,-123.82732129819117
271,-124.76319264759388
272,-121.99509029993142
273,-126.40738619080115
274,-121.41678551948819
275,-126.52488435518516
276,-121.79723856128076
277,-125.7681651770032
278,-122.69068499339839
279,-123.92572342816266
280,-122.89849515553233
281,-123.86043503906497
282,-122.88338692229192
283,-123.13520423844655
284,-124.01022492934898
285,-122.44252744574807
286,-125.4134954461775
287,-121.71046275560617
288,-126.23298447187277
289,-121.1617844592413
290,-125.6168677068327
291,-123.56992650448578
292,-122.33207570853139
293,-124.4373616169982
294,-121.08945914383519
295,-125.56563316789399
296,-119.83765054615144
297,-125.0094045361198
298,-121.08039645731873
299,-123.59542082015132
300,-123.19562301570902
301,-121.49905415065993
302,-125.21843016621011
303,-120.45159033827963
304,-125.51815484089799
305,-120.99041580853753
306,-124.88371475940102
307,-122.60623190760141
308,-121.68520266878127
309,-125.26450591490881
310,-120.90300895444547
311,-125.65631755230278
312,-120.57041061794601
313,-125.60283784947187
314,-121.15483830843559
315,-123.93576748249505
316,-124.03705299824604
317,-120.45762070000609
318,-125.63953603179519
319,-120.68641182605843
320,-123.4821911938417
321,-122.88504666091379
322,-121.57267775655592
323,-124.52447759481613
324,-120.1235109753985
325,-124.94355482393074
326,-121.51166327892929
327,-122.53543632805369
328,-123.48540422056651
329,-120.4962245655822
330,-125.05977290133421
331,-120.15046016057607
332,-125.14372846687347
333,-120.1575312135038
334,-124.17937847067275
335,-122.15143143624645
336,-122.73320225624202
337,-123.63517986230354
338,-120.41849741818719
339,-124.86589174290205
340,-121.03632572920016
341,-124.17533564581893
342,-120.85145327367984
343,-124.99744554258662
344,-120.55183991940554
345,-124.69601360022084
346,-120.98224933010415
347,-125.23590452197786
348,-120.26643546201717
349,-125.10201025435356
350,-121.61494382860674
351,-122.99196885813562
352,-122.48849941904348
353,-123.65132721757702
354,-121.83243454604724
355,-123.3105561580016
356,-124.11462127044653
357,-120.59940752405022
358,-125.59344103928706
359,-121.51779224542004
360,-122.35950452426383
361,-125.16589475625302
362,-120.28991964651102
363,-125.21321102042842
364,-121.42100889229059
365,-124.54331994948615
366,-122.9850453518592
367,-121.2970016383496
368,-125.65144047777794
369,-120.44479246273931
370,-125.88819032677497
371,-120.14315913724927
372,-125.54035151176427
373,-120.80070663045232
374,-124.18675149029595
375,-122.74524957708361
376,-121.47112523794476
377,-125.28623842290106
378,-120.09035588725095
379,-125.55590605059587
380,-120.41117851088185
381,-125.17631922404114
382,-121.37385768089601
383,-123.90851557973
384,-123.55958567093055
385,-121.3405391393977
386,-125.42256366470673
387,-120.18501982644804
388,-125.17225008256118
389,-121.16965915625734
390,-123.6613290515888
391,-122.28481868840649
392,-122.54673709696539
393,-124.53845123530175
394,-120.32770918319704
395,-125.43347168191441
396,-120.26669100583405
397,-125.16938149383954
398,-120.6697603623933
399,-124.82301614082967
400,-120.67739620250575
401,-124.27733478848812
402,-122.35786852347107
403,-121.54758128799486
404,-124.64738209665653
405,-120.39881935901221
406,-125.64362235650601
407,-120.12414020832699
408,-125.32312672132339
409,-120.63340343919504
410,-124.2698123760046
411,-121.66560711942384
412,-123.32198565098265
413,-122.38325150280436
414,-122.60558315675132
415,-123.19269669701808
416,-122.01890360774627
417,-124.35069913513894
418,-120.34021254647816
419,-125.20581418065765
420,-120.56170470844569
421,-124.23235371001624
422,-122.2221965640746
423,-122.54387009693522
424,-123.83267085343459
425,-120.92427594264377
426,-125.47067045133726
427,-120.23343270840537
428,-125.16453194405952
429,-121.04614205256468
430,-124.07409300785892
431,-121.24566005168288
432,-123.8678996340035
433,-122.12103296237899
434,-122.70060880483933
435,-123.84836639048243
436,-120.48648155076589
437,-125.42320344174506
438,-119.95636778048507
439,-125.18703297220276
440,-120.21723975211532
441,-124.80209146721376
442,-120.60492236604003
443,-123.44358657479755
444,-123.61436930688726
445,-120.73420163622224
446,-125.12156674604695
447,-119.87038459733853
448,-125.21304439489903
449,-119.80631314912529
450,-125.48760809418992
451,-119.82622654125298
452,-124.73812165524018
453,-121.88244788076354
454,-121.6784423064105
455,-124.83991885674955
456,-120.13811290073973
457,-125.11396987260034
458,-120.11918385693619
459,-124.53407933116794
460,-120.74485048657763
461,-123.50709855171633
462,-122.92851028736587
463,-121.29976578535015
464,-124.50820857530269
465,-120.48628885389374
466,-124.83432152038506
467,-119.84192629256293
468,-125.34010481361217
469,-120.03145486744154
470,-125.34829034405865
471,-119.89552704356684
472,-125.10499169856776
473,-122.02407589747764
474,-121.17514150546252
475,-124.64656468309546
476,-120.01391647996329
477,-125.08959353775013
478,-120.11027489402325
479,-123.8981604790444
480,-123.08787482098356
481,-120.63801483141194
482,-124.71893295789118
483,-119.85275275464974
484,-125.46154492729643
485,-119.97811196157171
486,-124.5705241572487
487,-121.65902158710631
488,-121.81555592612256
489,-124.57982531925445
490,-120.18777056733025
491,-125.0779471636848
492,-119.85987888424289
493,-125.30781411440982
494,-119.8431854281139
495,-123.2212810332668
496,-123.30128134101356
497,-120.2169962602009
498,-124.92146688286853
499,-120.10569763399253
500,-124.31597957486252
501,-121.62887201917088
502,-122.98195652964043
503,-122.98594986222284
504,-121.23386524033425
505,-124.82551343893206
506,-119.87139668404535
507,-124.87247851409849
508,-120.40863608553697
509,-123.95428125527985
510,-122.09358332218314
511,-122.13465795204273
512,-122.90077341325784
513,-121.14700706864035
514,-124.82691207504011
515,-119.96985282989648
516,-124.85467861574747
517,-120.82826595588708
518,-124.24553837068234
519,-122.25222603341983
520,-121.97495843924376
521,-124.07379590974898
522,-119.99653196316544
523,-125.37446887707873
524,-119.97748542295166
525,-124.9549385891533
526,-120.4293815908448
527,-124.4161271526189
528,-121.89365003643964
529,-122.19228303477365
530,-124.36573331431238
531,-120.20673258993796
532,-125.31230052558443
533,-119.81411887347478
534,-125.12178719701633
535,-120.03315932193287
536,-125.54608733617373
537,-120.19842358989216
538,-124.72494862791851
539,-121.47687446092333
540,-122.53463956751465
541,-124.01205542231737
542,-120.64502245558604
543,-124.65491589963057
544,-120.14149051077635
545,-125.22321828036802
546,-119.77811923194454
547,-124.55132776112173
548,-121.59979884635084
549,-121.76744764443676
550,-124.67285883212148
551,-119.91882870818175
552,-125.15823067915177
553,-119.9010055784197
554,-124.81182080407862
555,-120.63919727190147
556,-123.23099738821779
557,-123.52401791782324
558,-120.58466890268039
559,-124.87867569141027
560,-119.69180450344567
561,-125.16911246900052
562,-119.67202310370148
563,-125.01966311186195
564,-119.98025577448155
565,-124.448730330413
566,-121.30630226092542
567,-123.24409575890837
568,-121.6208758177265
569,-123.8453256171873
